id;kode_provinsi;nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;nama_puskesmas;jenis_kelamin;jumlah_bayi;satuan;tahun
35;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;LAKI-LAKI;371;ORANG;2018
36;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG ASIH;PEREMPUAN;359;ORANG;2018
37;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;LAKI-LAKI;283;ORANG;2018
38;32;JAWA BARAT;3277;KOTA CIMAHI;3277010;CIMAHI SELATAN;32.77.01;CIMAHI SELATAN;MELONG TENGAH;PEREMPUAN;274;ORANG;2018
39;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;LAKI-LAKI;294;ORANG;2018
40;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIMAHI TENGAH;PEREMPUAN;284;ORANG;2018
41;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;LAKI-LAKI;682;ORANG;2018
42;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;CIGUGUR TENGAH;PEREMPUAN;660;ORANG;2018
43;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;LAKI-LAKI;615;ORANG;2018
44;32;JAWA BARAT;3277;KOTA CIMAHI;3277020;CIMAHI TENGAH;32.77.02;CIMAHI TENGAH;PADASUKA;PEREMPUAN;595;ORANG;2018
